Facility Name,Facility Name_Bn,District Name,Division Name,District Id,Division Id,Facility Code,Facility Id,Facilitytype Id,Upazila Id
Noapara Union Sub Center,নোয়াপাড়া ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10019331,18912,38,209
Chandhat(charjesordi) Union Sub Center,চাঁধাট (চরজেসড়ী) ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000118,114,38,210
Laskardia Union Sub Center,লস্কারদিয়া ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000119,115,38,210
Rahutpara(gatti) Union Sub Center,রাহুতপাড়া (গাট্টি) ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000121,117,38,210
Ramkantapur Union Sub Center,রামকান্তপুর ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000122,118,38,210
Talma Union Sub Center,তালমা ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000123,119,38,210
Akoterchar Union Sub Center,আকোতেরচর ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000124,120,38,211
Char Bishnapur Union Sub Center,চর বিষ্ণাপুর ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000125,121,38,211
Khamarpara(hoshpur) Union Sub Center,খামারপাড়া (হোশপুর) ইউনিয়ন উপকেন্দ্র,Faridpur,Dhaka,2,1,10000093,89,38,206
Datta Para Union Sub Center,দত্ত পাড়া ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000131,127,38,213
Kadda(bashan) Union Sub Center,কড্ডা (বাসন) ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000132,128,38,213
Salna(kawaltia) Union Sub Center,সালনা (কাওয়াল্টিয়া) ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000135,131,38,213
Shakershar Union Sub Center,সাকেরশার ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000142,138,38,214
Toke Union Sub Center,টোক ইউনিয়ন সাব সেন্টার,Gazipur,Dhaka,3,1,10000147,143,38,216
Barmi Union Sub Center,বর্মি ইউনিয়ন সাব সেন্টার,Gazipur,Dhaka,3,1,10000148,144,38,217
Rajendrapur(rajabari) Union Sub Center,রাজেন্দ্রপুর (রাজাবাড়ী) ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000152,148,38,217
Sreepur Union Sub Center,শ্রীপুর ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000153,149,38,217
Benupur Union Sub Center,বেনুপুর ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000138,134,38,214
Kaliakair Union Sub Center,কালিয়াকৈর ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000140,136,38,214
Kaliganj Union Sub Center,কালীগঞ্জ ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000143,139,38,215
Azampur Union Sub Center,আজমপুর ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000130,126,38,213
Mirzapur Union Sub Center,মির্জাপুর ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000133,129,38,213
Chabagan Union Sub Center,চাবাগান ইউনিয়ন সাব সেন্টার,Gazipur,Dhaka,3,1,10000139,135,38,214
Kapasia Union Sub Center,কাপাসিয়া ইউনিয়ন সাব সেন্টার,Gazipur,Dhaka,3,1,10000145,141,38,216
Kaoraid Union Sub Center,কাওড়াইদ ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000149,145,38,217
Mawna Union Sub Center,মাওনা ইউনিয়ন উপকেন্দ্র,Gazipur,Dhaka,3,1,10000150,146,38,217
Machna Union Sub Center,মাচনা ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000180,175,38,221
Patgati Union Sub Center,পাটগতি ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000184,179,38,222
Kajulia Union Sub Center,কাজুলিয়া ইউনিয়ন সাব সেন্টার,Gopalganj,Dhaka,4,1,10000154,150,38,218
Paikkandi Union Sub Center,পাইকান্দি ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000156,152,38,218
Satpar Union Sub Center,সাতপার ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000157,153,38,218
Fukra Union Sub Center,ফুকরা ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000163,158,38,219
Ghonapara(ratail) Union Sub Center,ঘোনাপাড়া (রাতাইল) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000164,159,38,219
Rahuthar(hatiara) Union Sub Center,রাহুথার (হাটিয়ারা) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000168,163,38,219
Rajpat Union Sub Center,রাজপত ইউনিয়ন সাব সেন্টার,Gopalganj,Dhaka,4,1,10000169,164,38,219
Ramdia(bethuri) Union Sub Center,রামদিয়া (বেথুরী) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000170,165,38,219
Sajail Union Sub Center,সাহাইল ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000171,166,38,219
Kushla Union Sub Center,কুশলা ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000172,167,38,220
Ramshil Union Sub Center,রামশীল ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000174,169,38,220
Dignagar Union Sub Center,দিগনগর ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000175,170,38,221
Gohala Union Sub Center,গোহালা ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000176,171,38,221
Gopaldi(raipur) Union Sub Center,গোপালদী (রায়পুর) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000114,110,38,221
Jalirpar Union Sub Center,জালিরপাড় ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000177,172,38,221
Kalinagar Union Sub Center,কালীনগর ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000178,173,38,221
Nowpara Union Sub Center,নওপাড়া ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000116,112,38,221
Pakutia(dumaria) Union Sub Center,পাকুটিয়া (দুমারিয়া) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000183,178,38,222
Ulpur Union Sub Center,উলপুর ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000158,154,38,218
Joynagar(moheshpur) Union Sub Center,জয়নগর (মহেশপুর) ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000165,160,38,219
Nizamkandi Union Sub Center,নিজামকান্দি ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000166,161,38,219
Khanpura Union Sub Center,খানপুরা ইউনিয়ন উপকেন্দ্র,Gopalganj,Dhaka,4,1,10000179,174,38,221
Hilachia Union Sub Center,হিলাচিয়া ইউনিয়ন সাব সেন্টার,Kishorgonj,Dhaka,6,1,10000225,220,38,231
Shimul Union Sub Center,শিমুল ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000231,226,38,232
Kalichapr(patuabanga) Union Sub Center,কালিছাপার (পটুয়াবাঙ্গা) ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000251,246,38,241
Halimpur Union Sub Center,হালিমপুর ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000224,219,38,231
Humainpur Union Sub Center,হুমাইনপুর ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000226,221,38,231
Sararchar Union Sub Center,সররচর ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000228,223,38,231
Bhairab Union Sub Center,ভৈরব ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000229,224,38,232
Badla Union Sub Center,বদলা ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000233,228,38,234
Guzadia Union Sub Center,গুজাদিয়া ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000235,230,38,235
Banagram Union Sub Center,বনগ্রাম ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000237,232,38,236
Kargoan Union Sub Center,কারগাঁও ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000239,234,38,236
Masua Union Sub Center,মাসুয়া ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000240,235,38,236
Salua Union Sub Center,সালুয়া ইউনিয়ন সাব সেন্টার,Kishorgonj,Dhaka,6,1,10000247,242,38,238
Gopedighi Union Sub Center,গোপেদীঘি ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000248,243,38,239
Mathkhala Union Sub Center,মঠখালা ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10013135,13035,38,241
Taljanga Union Sub Center,তালজাঙ্গা ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000254,249,38,242
Bangabandhu(doldia) Union Sub Center,বঙ্গবন্ধু (ডলডিয়া) ইউনিয়ন উপকেন্দ্র,Kishorgonj,Dhaka,6,1,10000238,233,38,236
Ishibpur Union Sub Center,ইশিবপুর ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000267,262,38,245
Gopalpur Union Sub Center - Kalkini,গোপালপুর ইউনিয়ন উপকেন্দ্র - কালকিনী,Madaripur,Dhaka,7,1,10023414,23002,38,243
Khaserhat(bansgari) Union Sub Center,খাসেরহাট (বাঁশগরী) ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000257,252,38,243
Chargobindapur Union Sub Center,চরগোবিন্দপুর ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000260,255,38,244
Bajitpur Union Sub Center,বাজিতপুর ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000266,261,38,245
Kabirajpur Union Sub Center,কবিরাজপুর ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000268,263,38,245
Khalia Union Sub Center,খালিয়া ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000269,264,38,245
Bandarkhola(matbarrcha) Union Sub Center,বান্দরখোলা (মাতবাড়চা) ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000271,266,38,246
Dattapara Union Sub Center,দত্তপাড়া ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000272,267,38,246
Nilokhi Union Sub Center,নিলোখি ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000273,268,38,246
Dasher Union Sub Center,ড্যাশের ইউনিয়ন সাব সেন্টার,Madaripur,Dhaka,7,1,10000255,250,38,243
Shahebrampur Union Sub Center,সাহেবরামপুর ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000259,254,38,243
Amgram Union Sub Center,আমগ্রাম ইউনিয়ন উপকেন্দ্র,Madaripur,Dhaka,7,1,10000265,260,38,245
Daulatpur Union Sub Center,দৌলতপুর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000276,271,38,247
Ghior Union Sub Center,ঘিওর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000280,275,38,248
Zabra(baliakhura) Union Sub Center,জাবরা (বালিয়াখুড়া) ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000283,278,38,248
Balora Union Sub Center,বালোড়া ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000285,280,38,249
Lesragonj Union Sub Center,লেসরাগঞ্জ ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000287,282,38,249
Bankhuri(hatipara) Union Sub Center,বাঁখুরী (হাটিপাড়া) ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000290,285,38,250
Garpara Union Sub Center,গারপাড়া ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000292,287,38,250
Krishnapur(katigram) Union Sub Center,কৃষ্ণপুর (কাটিগ্রাম) ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000293,288,38,250
Daragram Union Sub Center,দারাগ্রাম ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000300,295,38,251
Maluchi Union Sub Center,মালুচি ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000305,300,38,252
Shibalaya Union Sub Center,শিবলয়া ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000308,303,38,252
Baira Union Sub Center,বাইড়া ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000310,305,38,253
Singair Union Sub Center,সিঙ্গাইর ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000313,308,38,253
Bachamara Union Sub Center,বাছামারা ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000275,270,38,247
Samgonj Hat(jeonpur) Union Sub Center,সামগঞ্জ হাট (জিওনপুর) ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000278,273,38,247
Baikantapur Union Sub Center,বৈকান্তপুর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000279,274,38,248
Char Tilli Union Sub Center,চর টিল্লী ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000299,294,38,251
Dhankora Union Sub Center,ধানকোড়া ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000301,296,38,251
Tilli Union Sub Center,টিল্লি ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000304,299,38,251
Baldhara Union Sub Center,বলধারা ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000311,306,38,253
Payla Union Sub Center,পাইলা ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000282,277,38,248
Azimnagar Union Sub Center,আজিমনগর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000284,279,38,249
Kanchanpur Union Sub Center,কাঞ্চনপুর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000286,281,38,249
Zitka(gala) Union Sub Center,জিটকা (গালা) ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000289,284,38,249
Betila Mitra Union Sub Center,বেটিলা মিত্র ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000291,286,38,250
Nabogram Union Sub Center,নবোগ্রাম ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000294,289,38,250
Baliati Union Sub Center,বালিয়াটি ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000298,293,38,251
Dimukhi Union Sub Center,দিমুখী ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000302,297,38,251
Mohadebpur Union Sub Center,মহাদেবপুর ইউনিয়ন উপকেন্দ্র,Manikganj,Dhaka,8,1,10000306,301,38,252
Teota Union Sub Center,টিওটা ইউনিয়ন সাব সেন্টার,Manikganj,Dhaka,8,1,10000309,304,38,252
Bhaberchar Union Sub Center,ভাবরচর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000314,309,38,254
Hossaindi Union Sub Center,হোসেনদী ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000316,311,38,254
Rasulpur Union Sub Center,রসুলপুর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000318,313,38,254
Dugachi(kumarbhog) Union Sub Center,দুগাছি (কুমারভোগ) ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000319,314,38,255
Haldia Union Sub Center,হলদিয়া ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000320,315,38,255
Kanakshar Union Sub Center,কনকসর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000321,316,38,255
Basail Union Sub Center-Serajdikhan,বাসাইল ইউনিয়ন উপকেন্দ্র-সেরাজদিখান,Munshiganj,Dhaka,9,1,10000330,325,38,257
Madhyapara Union Sub Center,মধ্যপাড়া ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000332,327,38,257
Raja Nagar(2) Union Sub Center,রাজা নগর(2) ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000335,330,38,257
Raja Nagar(3) Union Sub Center,রাজা নগর(3) ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000336,331,38,257
Sekhar Nagar Union Sub Center,শেখরনগর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000337,332,38,257
Serajdikhan(rasunia) Union Sub Center,সিরাজদিখান (রাসুনিয়া) ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000338,333,38,257
Bhagyakul Union Sub Center,ভাগ্যকুল ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000339,334,38,258
Sreenagar Union Sub Center,শ্রীনগর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000342,337,38,258
Hat Baligaon Union Sub Center,হাট বালিগাঁও ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000344,339,38,259
Tungibari Union Sub Center,টুঙ্গিবাড়ী ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000348,343,38,259
Gazaria Union Sub Center,গাজারিয়া ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000315,310,38,254
Kazirpagla Union Sub Center,কাজিরপাগলা ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000322,317,38,255
Hasara Union Sub Center,হাসারা ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000340,335,38,258
Bajrajogini Union Sub Center,বজরজোগিনী ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000324,319,38,256
Char Dumoria Union Sub Center,চর ডুমোরিয়া ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000325,320,38,256
Kola Union Sub Center,কোলা ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000331,326,38,257
Pauldia(bayragadi) Union Sub Center,পলদিয়া (বায়রাগাড়ি) ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000334,329,38,257
Dhipur Union Sub Center,ঢিপুর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000343,338,38,259
Jashalong Union Sub Center,যশলং ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000345,340,38,259
Mulchar Union Sub Center,মুলচর ইউনিয়ন উপকেন্দ্র,Munshiganj,Dhaka,9,1,10000346,341,38,259
Chaitankanda Union Sub Center,চৈতানকান্দা ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000412,407,38,273
Haizadi Union Sub Center,হাইজাদী ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000413,408,38,273
Kalapaharia Union Sub Center,কালাপাহাড়িয়া ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000414,409,38,273
Satgram Union Sub Center,সাতগ্রাম ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000418,413,38,273
Madanpur Union Sub Center,মদনপুর ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000419,414,38,275
Rupgonj Union Sub Center,রূপগঞ্জ ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000431,426,38,277
Bhattapur(aminpur) Union Sub Center,ভট্টাপুর (আমিনপুর) ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000433,428,38,274
Hosainpur Union Sub Center,হোসেনপুর ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000434,429,38,274
Baradi Union Sub Center,বড়ী ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000432,427,38,274
Brahmandi Union Sub Center,ব্রাহ্মন্ডী ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000411,406,38,273
Sharifunnesa Union Sub Center,শরীফুন্নেসা ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000424,419,38,276
Bhulta Union Sub Center,ভুলতা ইউনিয়ন উপকেন্দ্র,Narayanganj,Dhaka,11,1,10000429,424,38,277
Poradia Union Sub Center,পোরাডিয়া ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000437,432,38,278
Gotashia Union Sub Center,গোতাশিয়া ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000439,434,38,279
Monahardi(shukundi) Union Sub Center,মোনাহরদী (শুকুন্দি) ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000442,437,38,279
Amdia Union Sub Center,আমদিয়া ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000445,440,38,280
Narsingdi Sadar Union Sub Center,নরসিংদী সদর ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000449,444,38,280
Charsindur Union Sub Center,চরসিন্দুর ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000454,449,38,281
Ghorasal Union Sub Center,ঘোড়াশাল ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000455,450,38,281
Kumardi Union Sub Center,কুমারদী ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000460,455,38,283
Labutala Union Sub Center,লাবুতলা ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000441,436,38,279
Algi(madhabdi) Union Sub Center,আলগি (মাধবদী) ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000444,439,38,280
Bhagirathpur Union Sub Center,ভগীরথপুর ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000446,441,38,280
Maddya Nagar(paratali) Union Sub Center,মাদ্দ্যানগর (পাড়াটালী) ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000457,452,38,282
Raipura Union Sub Center,রায়পুরা ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000459,454,38,282
Barachapa Union Sub Center,বড়চাপা ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000438,433,38,279
Kanchikata Union Sub Center,কাঞ্চিকাটা ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000440,435,38,279
Bhatpara Union Sub Center,ভাটপাড়া ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000447,442,38,280
Karimpur Union Sub Center,করিমপুর ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000448,443,38,280
Putia(saidnagar) Union Sub Center,পুটিয়া (সৈয়দনগর) ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000462,457,38,283
Shibpur Union Sub Center,শিবপুর ইউনিয়ন উপকেন্দ্র,Narsingdi,Dhaka,12,1,10000463,458,38,283
Ratandia Union Sub Center,রতান্ডিয়া ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000520,515,38,296
Joshai Union Sub Center,জোশাই ইউনিয়ন সাব সেন্টার,Rajbari,Dhaka,14,1,10000514,509,38,297
Bashantapur Union Sub Center,বসন্তপুর ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000526,521,38,298
Daulatdia Union Sub Center,দৌলতদিয়া ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000507,502,38,295
Uzanchar Union Sub Center,উজানচর ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000510,505,38,295
Khagjana Union Sub Center,খাগজানা ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000516,511,38,296
Mrigi Union Sub Center,মৃগি ইউনিয়ন সাব সেন্টার,Rajbari,Dhaka,14,1,10000517,512,38,296
Charsajuria(kalimohar) Union Sub Center,চরসাজুরিয়া (কালীমোহর) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000512,507,38,297
Habashpur Union Sub Center,হাবাশপুর ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000513,508,38,297
Kashbamazail Union Sub Center,কাশবামাজাইল ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000515,510,38,297
Patta Union Sub Center,পাট্টা ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000519,514,38,297
Banibaha Union Sub Center,বানিবাহা ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000522,517,38,298
Barat B Union Sub Center,বরাত বি ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000525,520,38,298
Chondoni Union Sub Center,চন্দনী ইউনিয়ন সাব সেন্টার,Rajbari,Dhaka,14,1,10000527,522,38,298
Khangonj Union Sub Center,খাঙ্গঞ্জ ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000528,523,38,298
Mukandia(panchuria) Union Sub Center,মুকান্দিয়া (পাঁচচুরিয়া) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000530,525,38,298
Mulghar Union Sub Center,মুলঘর ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000531,526,38,298
Ariakandi(baharpur) Union Sub Center,আরিয়াকান্দি (বাহারপুর) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000502,497,38,294
Baharpur Union Sub Center,বাহারপুর ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000503,498,38,294
Naliagram Union Sub Center,নালিয়াগ্রাম ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000504,499,38,294
Rajdhapur(islampur) Union Sub Center,রাজধানী (ইসলামপুর) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000506,501,38,294
Sengram(bahadurpur) Union Sub Center,সেনগ্রাম (বাহাদুরপুর) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000521,516,38,297
Barat A Union Sub Center,বরাত এ ইউনিয়ন সাব সেন্টার,Rajbari,Dhaka,14,1,10000524,519,38,298
Shyamnagar(sultanpur) Union Sub Center,শ্যামনগর (সুলতানপুর) ইউনিয়ন উপকেন্দ্র,Rajbari,Dhaka,14,1,10000533,528,38,298
Mahisar Union Sub Center,মহিসার ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000540,535,38,299
Haturia Union Sub Center,হাটুরিয়া ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000545,540,38,301
Panditsar Union Sub Center,পণ্ডিতসার ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000552,547,38,302
Palong Union Sub Center,পালং ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000557,552,38,303
Lawkhola(mulna) Union Sub Center,লাখোলা (মুলনা) ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000562,557,38,304
Gazipur Union Sub Center,গাজীপুর ইউনিয়ন উপকেন্দ্র,Shariatpur,Dhaka,15,1,10000537,532,38,299
