Id,Name,Name (Bangla),Code,Email,Agency,Type,Division,,District,,City Corporation,,Upazila,,Paurasava,Union,Private
23957,"union sub health & family welfare  centre,Modhopara kaliakair,Gazipur.","ইউনিয় উপ- স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,মধ্যপাড়া ,কালিয়াকৈর,গাজিপুর।",10024369,,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Madhyapara,No
23959,"union sub health & family welfare  centre,Dhaljora, kaliakair,Gazipur.","ইউনিয় উপ- স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,ঢালজোড়া,কালিয়াকৈর,গাজিপুর।",10024371,,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Dhaljora,No
134,Benupur Union Health Sub Center,বেনুপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000138,benupur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Dhaljora,No
135,Chabagan Union Health Sub Center,চাবাগান ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000139,chabagan@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Boali,No
136,Kaliakair Union Health Sub Center,কালিয়াকৈর  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000140,kaliakair@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Sreefaltali,No
138,Shakershar Union Health Sub Center,শাকেরশর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000142,shakershar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kaliakair,,Unions Of Kaliakair Upazila,Madhyapara,No
37734,"Talia 20 bed Hospital, Kaliganj, Gazipur","তালিয়া ২০ বেড হাসপাতাল, কালিগঞ্জ, গাজীপুর।",10038146,talia@hospi.dghs.gov.bd,DGHS,20-bed Hospital,Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,,,No
140,Kaliganj Upazila Health Complex,কালীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000144,kaliganj@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Kaliganj Paurashava,Urban Ward No-05,No
23985,"Upazila family welfare office,kaliganj, Gazipur.","উপজেলা পরিবার কল্যাণ কার্যলয়ে ,কালিগঞ্জ, গাজিপুর।",10024397,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Kaliganj Paurashava,,No
23986,"Upazila family welfare sadar clinic,kaliganj, Gazipur.","উপজেলা পরিবার কল্যাণ সদর ক্লিনিক ,কালিগঞ্জ, গাজিপুর।",10024398,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Kaliganj Paurashava,Urban Ward No-09,No
23987,"union health & family welfare centre (UH & FWC),Bahadursad,kaliganj, Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,বাহাদুরশাদী,কালিগঞ্জ,গাজিপুর।",10024399,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Unions Of Kaliganj Upazila,Bahadursadi,No
23988,"union health & family welfare centre (UH & FWC),Jamalpur,kaliganj, Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,জামালপুর,,কালিগঞ্জ,গাজিপুর।",10024400,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Unions Of Kaliganj Upazila,Jamalpur,No
23989,"union health & family welfare centre (UH & FWC),Bakterpur,kaliganj, Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,বক্তারপুর,কালিগঞ্জ,গাজিপুর।",10024401,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Unions Of Kaliganj Upazila,Baktarpur,No
23990,"union health & family welfare centre (UH & FWC),makterpur,kaliganj, Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,মক্তারপুর,কালিগঞ্জ,গাজিপুর।",10024402,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Unions Of Kaliganj Upazila,Moktarpur,No
23991,"union health & family welfare centre (UH & FWC),Jangalia,kaliganj, Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্,জাঙ্গালীয়া,কালিগঞ্জ,গাজিপুর।",10024403,sanjida.ealy@gmail.com,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Unions Of Kaliganj Upazila,Jangalia,No
139,Kaliganj Union Health Sub Center,কালীগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000143,kaliganj@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kaliganj,,Kaliganj Paurashava,Urban Ward No-04,No
142,Kapasia Upazila Health Complex,"কাপাসিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,",10000146,kapasia@uhfpo.dhgs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gazipur,,Gazipur N/A,,Kapasia,,Unions Of Kapasia Upazila,Targaon,No
141,Kapasia Union Health Sub Center,কাপাসিয়া  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000145,kapasia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kapasia,,Unions Of Kapasia Upazila,Kapasia,No
143,Toke Union Health Sub Center,টোক ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000147,toke@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Kapasia,,Unions Of Kapasia Upazila,Toke,No
147,Sreepur Upazila Health Complex,শ্রীপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000151,sreepur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Sreepur Paurashava,Urban Ward No-02,No
23977,"union health & family welfare centre (UH & FWC),Telehati,Sreepur,Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,তেলিহাটি,শ্রীপুর,গাজিপুর।",10024389,,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Unions Of Sreepur Upazila,Telihati,No
23979,"union health & family welfare centre (UH & FWC),Gosinga,Sreepur,Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,গোসিংগা,শ্রীপুর,গাজিপুর।",10024391,,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Unions Of Sreepur Upazila,Gosinga,No
23980,"union health & family welfare centre (UH & FWC),prohladpur,Sreepur,Gazipur.","ইউনিয় স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র্র্,প্রহলাদপুর,শ্রীপুর,গাজিপুর।",10024392,,DGFP,Union Health & Family Welfare Center (UH&FWC),Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Unions Of Sreepur Upazila,Prahladpur,No
144,Barmi Union Health Sub Center,বরমী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000148,barmi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Unions Of Sreepur Upazila,Barmi,No
146,Mawna Union Health Sub Center,মাওনা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000150,mawna@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Unions Of Sreepur Upazila,Maona,No
149,Sreepur Union Health Sub Center,শ্রীপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000153,sreepur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gazipur,,Gazipur N/A,,Sreepur,,Sreepur Paurashava,Urban Ward No-02,No
2237,Gopalganj Medical College,গোপালগঞ্জ মেডিকেল কলেজ,10002292,sskmc@ac.dghs.gov.bd,DGHS,Medical College,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Gopalganj Paurashava,,No
32920,Gopalganj Medical College Hospital,গোপালগঞ্জ মেডিকেল কলেজ হাসপাতাল,10033332,gopalganjmch@hospi.dghs.gov.bd,DGHS,Medical College Hospital,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Gopalganj Paurashava,,No
24775,Gopalganj Dental College Hospital,গোপালগঞ্জ ডেন্টাল কলেজ হাসপাতাল,10025187,slrdchgopalganj@hospi.dghs.gov.bd,DGHS,Dental College Hospital,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,,,No
24178,Gopalganj Institute of Health Technology,গোপালগঞ্জ ইনস্টিটিউট অব হেলথ টেকনোলজি,10024590,,DGHS,Institute of Health Technology,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,,,No
2216,Gopalganj 250 bed General Hospital,"২৫০ শয্যা বিশিষ্ট জেনারেল হাসপাতাল, গোপালগঞ্জ।",10002233,gopalganj@hospi.dghs.gov.bd,DGHS,District/General Hospital,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Gopalganj Paurashava,Urban Ward No-09,No
150,Kajulia Union Health Sub Center,কাজুলিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000154,kajulia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Unions Of Gopalganj Sadar Upazila,Kajulia,No
152,Paikkandi Union Health Sub Center,পাইক কান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000156,paikkandi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Unions Of Gopalganj Sadar Upazila,Paikkandi,No
153,Satpar Union Health Sub Center,সাতপাড় ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000157,satpar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Unions Of Gopalganj Sadar Upazila,Satpar,No
154,Ulpur Union Health Sub Center,উলপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000158,ulpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Unions Of Gopalganj Sadar Upazila,Ulpur,No
156,Gopalganj Chest Disease Clinic,গোপালগঞ্জ বক্ষব্যাধি ক্লিনিক,10000161,gopalganj@tc.dghs.gov.bd,DGHS,Chest Disease Clinic,Dhaka,,Gopalganj,,Gopalganj N/A,,Gopalganj Sadar,,Gopalganj Paurashava,Urban Ward No-09,No
33743,"Kashiani Institute of Health Technology, Gopalganj","কাশিয়ানী  ইনস্টিটিউট অফ হেলথ টেকনোলজি, গোপালগঞ্জ।",10034155,ihtkashiani@ac.dghs.gov.bd,DGHS,Institute of Health Technology,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,,,No
24836,Baspur 20 bed Hospital,ব্যাসপুর ২০ শয্যা বিশিষ্ট হাসপাতাল,10025248,baspur20bed@hospi.dghs.gov.bd,DGHS,20-bed Hospital,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Maheshpur,No
162,Kashiani Upazila Health Complex,কাশিয়ানী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000167,kasiani@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Kashiani,No
158,Fukra Union Health Sub Center,ফুকরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000163,fukra@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Fukura,No
159,Ghonapara(ratail) Union Health Sub Center,ঘো্নাপাড়া (রাতাইল) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000164,ghonapara_ratail@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Ratail,No
160,Joynagar(moheshpur) Union Health Sub Center,জয়নগর (মহেষপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000165,joynagar_moheshpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Maheshpur,No
161,Nizamkandi Union Health Sub Center,নিজামকান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000166,nizamkandi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Nijamkandi,No
163,Rahuthar(hatiara) Union Health Sub Center,রাহুথর (হাটিয়ারা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000168,rahuthar_hatiara@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Hatiara,No
164,Rajpat Union Health Sub Center,রাজপাট ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000169,rajpat@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Rajpat,No
165,Ramdia(bethuri) Union Health Sub Center,রামদিয়া (বেথুরি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000170,ramdia_bethuri@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Bethuri,No
166,Sajail Union Health Sub Center,সাজাইল ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000171,sajail@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kashiani,,Unions Of Kashiani Upazila,Sajail,No
168,Kotalipara Upazila Health Complex,কোটালীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10000173,kotalipara@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gopalganj,,Gopalganj N/A,,Kotalipara,,Kotalipara Paurashava,Urban Ward No-03,No
167,Kushla Union Health Sub Center,কুশলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000172,kushla@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kotalipara,,Unions Of Kotalipara Upazila,Kushla,No
169,Ramshil Union Health Sub Center,রামশিল ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000174,ramshil@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Kotalipara,,Unions Of Kotalipara Upazila,Ramshil,No
176,Muksudpur Upazila Health Complex,মুকসুদপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000181,maksudpur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Muksudpur Paurashava,Urban Ward No-06,No
170,Dignagar Union Health Sub Center,দিগনগর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000175,dignagar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Dignagar,No
171,Gohala Union Health Sub Center,গোহালা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000176,gohala@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Gohala,No
172,Jalirpar Union Health Sub Center,জলিরপাড় ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000177,jalirpar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Jalirpar,No
173,Kalinagar Union Health Sub Center,কালিনগর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000178,kalinagar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Bhabrasur,No
174,Khanpura Union Health Sub Center,খানপুরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000179,khanpura@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Mochna,No
175,Machna Union Health Sub Center,মাচনা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000180,machna@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Muksudpur,,Unions Of Muksudpur Upazila,Mochna,No
36007,"Tungipara Institute of Health Technology, Gopalganj","টুঙ্গিপাড়া ইনস্টিটিউট অফ হেলথ টেকনোলজি, গোপালগঞ্জ",10036419,,DGHS,Institute of Health Technology,Dhaka,,Gopalganj,,Gopalganj N/A,,Tungipara,,,,No
177,Tungipara Upazila Health Complex,টুংগীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10000182,tungipara@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Gopalganj,,Gopalganj N/A,,Tungipara,,Tungipara Paurashava,,No
178,Pakutia(dumaria) Union Health Sub Center,পাকুটিয়া(ডুমারিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000183,pakutia_dumaria@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Tungipara,,Unions Of Tungipara Upazila,Dumuria,No
179,Patgati Union Health Sub Center,পাটগাতি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000184,patgati@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Gopalganj,,Gopalganj N/A,,Tungipara,,Unions Of Tungipara Upazila,Patgati,No
218,Austagram Upazila Health Complex,অষ্টগ্রাম উপজেলা স্বাস্থ্য কমপ্লেক্স,10000223,austogram@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Austagram,,Unions Of Austagram Upazila,Austagram,No
222,Bajitpur Upazila Health Complex,বাজিতপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000227,bajitpur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bajitpur,,Bajitpur Paurashava,Urban Ward No-01,No
219,Halimpur Union Health Sub Center,হালিমপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000224,halimpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bajitpur,,Unions Of Bajitpur Upazila,Halimpur,No
220,Hilachia Union Health Sub Center,হিলাচিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000225,hilachia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bajitpur,,Unions Of Bajitpur Upazila,Hilachia,No
221,Humainpur Union Health Sub Center,হুমায়ুনপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000226,humainpur@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bajitpur,,Unions Of Bajitpur Upazila,Humaipur,No
223,Sararchar Union Health Sub Center,সরারচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000228,sararchar@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bajitpur,,Unions Of Bajitpur Upazila,Sarar Char,No
225,Bhairab Upazila Health Complex,ভৈরব উপজেলা স্বাস্থ্য কমপ্লেক্স,10000230,bhairab@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bhairab,,Bhairab Paurashava,Urban Ward No-07,No
224,Bhairab Union Health Sub Center,ভৈরব ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000229,bhairab@uhfpo.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bhairab,,Unions Of Bhairab Upazila,Shibpur,No
226,Shimul Kandi Union Health Sub Center,শিমুল কান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000231,bhairab@uhfpo.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Bhairab,,Unions Of Bhairab Upazila,Shimulkandi,No
227,Hossainpur Upazila Health Complex,হোসেনপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000232,hosainpur@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Hossainpur,,Hossainpur Paurashava,Urban Ward No-07,No
229,Itna Upazila Health Complex,"৫০ শয্যা বিশিষ্ট উপজেলা স্বাস্থ্য কমপ্লেক্স, ইটনা ,   কিশোরগঞ্জ।",10000234,itna@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Itna,,Unions Of Itna Upazila,Itna,No
228,Badla Union Health Sub Center,বাদলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000233,badla@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Itna,,Unions Of Itna Upazila,Badla,No
231,Karimganj Upazila Health Complex,করিমগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000236,karimganj@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Karimganj,,Karimganj Paurashava,Urban Ward No-05,No
230,Guzadia Union Health Sub Center,গুজাদিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000235,guzadia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Karimganj,,Unions Of Karimganj Upazila,Gujadia,No
236,Katiadi Upazila Health Complex,কটিয়াদী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000241,katiadi@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Katiadi,,,,No
232,Banagram Union Health Sub Center,বনগ্রাম ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000237,banagram@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Katiadi,,Unions Of Katiadi Upazila,Banagram,No
233,Doldia Union Health Sub Center,দলদিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000238,bangabandhu_doldia@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Katiadi,,Unions Of Katiadi Upazila,Shahasram Dhuldia,No
234,Kargoan Union Health Sub Center,করগাঁও ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000239,kargoan@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Katiadi,,Unions Of Katiadi Upazila,Kargaon,No
235,Masua Union Health Sub Center,মাছুয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000240,masua@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Katiadi,,Unions Of Katiadi Upazila,Masua,No
2241,Shahid Syed Nazrul Islam Medical College,শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ,10002296,nislammc@ac.dghs.gov.bd,DGHS,Medical College,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Kishoreganj Sadar,,,,No
238,Kishoreganj 250 Bed District Sadar Hospital,"২৫০ শয্যা জেনারেল হাসপাতাল, কিশোরগঞ্জ",10000243,kishoreganj@hospi.dghs.gov.bd,DGHS,District/General Hospital,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Kishoreganj Sadar,,Kishoreganj Paurashava,Urban Ward No-01,No
240,Kishoreganj Chest Disease Clinic,কিশোরগঞ্জ বক্ষব্যাধি ক্লিনিক,10000245,kishoreganjcdc@tc.dghs.gov.bd,DGHS,Chest Disease Clinic,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Kishoreganj Sadar,,Kishoreganj Paurashava,,No
241,Kuliarchar Upazila Health Complex,কুলিয়ারচর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000246,kuliarchar@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Kuliarchar,,Kuliar Char Paurashava,Urban Ward No-02,No
242,Salua Union Health Sub Center,সালুয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000247,salua@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Kuliarchar,,Unions Of Kuliar Char Upazila,Salua,No
244,Mithamoin Upazila Health Complex,মিঠামইন উপজেলা স্বাস্থ্য কমপ্লেক্স,10000249,mithamain@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Mithamain,,Unions Of Mithamain Upazila,Mithamain,No
243,Gopedighi Union Health Sub Center,গোপদিঘী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000248,gopedighi@usc.dghs.gov.bd,DGHS,Union Health Sub Center,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Mithamain,,Unions Of Mithamain Upazila,Gopedighi,No
245,Nikli Upazila Health Complex,নিকলী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000250,nikli@uhfpo.dghs.gov.bd,DGHS,Upazila Health Complex,Dhaka,,Kishoreganj,,Kishoreganj N/A,,Nikli,,Unions Of Nikli Upazila,Nikli,No
